title,description,purpose,overview,includes1,includes2,includes3,includes4,includes5,form1,form2,form3
初試啼聲,本基礎單元設計是要讓您向所屬分會自我介紹，並向您介紹展開國際演講會(Toastmasters)學習之旅所需的技巧。,：本單元目的是向分會會員介紹自己，並從中學習公開演講的基本構架。,：撰寫並發表任何主題的演講向分會介紹自己。您可在演講中展現幽默、提供資訊，或以任何吸引您的主題與方式發表。,：一篇 4 ~ 6 分鐘的演講。,,,,,https://ckc300.neocities.org/E/8101.pdf,,
,本單元涵蓋聽到與聆聽的差異，同時提及探索聆聽如何幫助個人建立穩固、持續關係的步驟。,：本單元目的是展現您聆聽他人談話內容的能力。,：在分會例會上，完成即席問答主持人的工作職責。擔任即席問答主持人時，簡單回應每一位即席演講者的內容，展現您積極聆聽的技巧。舉例來說，您可以回答：「感謝您帶來精彩的演講。您在演講中提到從事園藝好處的論點，確實相當有說服力。我了解您對於人人都應該花時間做些喜愛事物的深刻感受。」,：在分會例會擔任即席問答主持人,,,,,https://ckc300.neocities.org/E/8200.pdf,,
講評與回饋,本單元談論給予和聽取回饋的必要技巧。您將學到如何給予、聽取及落實回饋。,：本單元的目的是針對任何主題發表演講、聽取回饋，並在第二篇演講落實回饋。,：為您的第一篇 5 ~ 7 分鐘演講選定主題。發表完演講後，仔細回顧得到的回饋。在另一場分會例會再發表一篇 5 ~ 7 分鐘演講，期間落實您在第一篇演講得到的回饋。您可選擇發表同樣的演講內容或全新演講。您的第二篇演講應反映自第一篇演講得到的部分或全部回饋。最後，在您發表完兩篇演講後，在分會例會擔任講評者並為其他會員的演講提出建設性的回饋。,：,,,,,https://ckc300.neocities.org/E/8100-A.pdf,https://ckc300.neocities.org/E/8100-B.pdf,https://ckc300.neocities.org/E/8100-3.pdf
國際演講會指導計劃介紹,本單元介紹指導計劃的價值，及國際演講會(Toastmasters)對導師與學員間關係的觀點。,：本單元的目的是清楚界定國際演講會(Toastmasters)對指導計劃的願景。,：撰寫一篇 5 ~ 7 分鐘的演講，來分享您身為學員的經驗。分享有導師指導的影響與重要性。您的演講不應只是本單元內容，更要以自身經驗舉例。,。,,,,,https://ckc300.neocities.org/E/8204.pdf,,
了解自身溝通風格,本單元聚焦辨識出您偏好的溝通風格及了解您的個人風格如何影響您與他人間的互動。,：本單元的目的是學習不同的溝通風格並找出您的主要風格。,：完成「探索您的溝通風格」問卷來幫助自己找出個人風格。在分會例會上，發表一篇 5 ~ 7 分鐘的演講，談論您的溝通風格及其對您的職場(及／或)人際關係有何影響。如果您不便討論自身溝通風格，您可談論曾經面對過的溝通風格及其對您的影響。,：,◎ 「探索您的溝通風格」問卷,◎ 發表一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8206.pdf,,
,本單元設計是要介紹不同類型的領導風格，以及協助您找出自己偏好的風格。,：本單元目的是找出您主要的領導風格。,：完成「探索您的領導風格」問卷。思考您的領導風格如何影響身邊的人，以及要如何調整以便能更有效率地帶領和自己風格不同的成員。在分會例會中發表一篇 5 ~ 7 分鐘的演講，分享有關您個人領導風格的某些面貌或是一般風格。您可選擇探討與他人合作時偏好的風格、您的個人風格以及如何依照不同情況改變，或一般的領導風格以及其對群體的影響。,：,◎ 「探索您的領導風格」問卷,◎ 發表一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8207.pdf,,
跨文化理解,本單元聚焦在理解您認同的文化，同時認識與您所屬文化及其他文化有關之刻板印象的影響。,：本單元的目的是找出您的文化認同及刻板印象如何影響他人對您的觀點。,：發表一篇 5 ~ 7 分鐘的演講，闡述您最認同的文化，及常與這些文化聯想在一起的刻板印象如何對您個人造成影響。您可能需要花時間研究所屬文化的刻板印象，尤其是當您的文化是所處地理區中的主流文化。或許聽起來很難以置信或不常聽聞，所有文化認同都存在有附屬的刻板印象。,：,◎ 「定義您的文化認同」參考資源,◎ 發表一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8202.pdf,,
時間管理,本單元設計是要協助您管理時間、探索時間管理技巧，並且在您的演講和日常中活中落實。,：本單元的目的是觀察您的時間管理模式。,：選擇任何主題撰寫一篇 5 ~ 7 分鐘的演講。準備演講時，記錄每一項任務所花時間，以便幫助您決定如何改善時間管理策略。在分會例會中發表您的演講。最後，將您的「單元完成表」交給您的教育副會長。,：,◎ 時間及任務記錄,◎ 單元完成表,◎ 發表一篇 5 ~ 7 分鐘的演講,,https://ckc300.neocities.org/E/8205.pdf,,
,本單元談論主題選擇策略，以及撰寫一篇結構嚴謹的演講前，所需進行研究與採行方法的建議。,：本單元目的是學習或回顧基本研究方法，並針對任何主題發表有條不紊、研究充分的演講。,：選擇您還不很熟悉或有興趣深入研究的主題。確保您的主題不會過於廣泛，適合在 5 ~ 7 分鐘的演講充分表達。按照本單元指示研究主題並開始組織相關資料。練習您的演講，並持續改善組織結構。在分會例會中發表您的演講。,：,◎ 針對主題研究,◎ 研究工作表,◎ 演講大綱工作表,◎ 發表一篇 5 ~ 7 分鐘的演講,https://ckc300.neocities.org/E/8102.pdf,,
連結觀眾 交流共鳴,本單元聚焦在不同的觀眾類型，以及如何有效地與之互動。,：本單元目的是要練習引起陌生觀眾共鳴的必要技巧。,：選擇大部份觀眾不熟悉的主題發表一篇 5 ~ 7 分鐘的演講。因為是在所屬分會發表演講，您應對於觀眾的喜好與個性相當熟悉。選擇一個對您的分會會員來說是全新或不熟悉的主題，可以讓,：一篇 5 ~ 7 分鐘的演講,,,,,https://ckc300.neocities.org/E/8201.pdf,,
有效的肢體語言,本單元聚焦如何辨識在公開演講中使用的肢體語言，以及如何運用手勢強化演講內容。,：本單元的目的是在發表演講過程中，留意您刻意或非刻意的肢體語言，並學習、演練及強化演講時運用非語言溝通的熟練度。,：選擇一個主題，準備一篇 5 ~ 7 分鐘的演講，藉此機會來運用動作與手勢傳達訊息。在分會發表演講前，錄影您演練演講的過程，並請導師或另一名講評者提供回饋意見。若您無法取得錄影器材，可在預定發表演講的時間之前，在鏡子前演練演講。,：發表一篇 5 ~ 7 分鐘的演講,,,,,https://ckc300.neocities.org/E/8203.pdf,,
發掘幽默感,本單元著重瞭解您自身的幽默感，同時學習如何與觀眾分享並引起共鳴。,：本單元的目的為學習構思幽默故事集，並在演講時展現幽默。,：根據所選主題發表一篇 5 ~ 7 分鐘的演講。您應在演講過程中分享至少一則趣聞軼事或故事，來娛樂觀眾或在演講中展現幽默。,：5 ~ 7 分鐘長的演講,,,,,https://ckc300.neocities.org/E/8208.pdf,,
達成共識,本單元聚焦在如何達成共識，同時強調在決策過程中讓所有團體成員都有參與感的重要性。,：本單元目的是與團體合作，練習如何針對任何議題達成共識。,：應用本單元提及的技巧，練習在分會例會中，帶領團體在 20 分鐘內達成共識。選擇您及該團體視為挑戰的議題，但避免選擇顯然無法在限定時間內達成共識的議題。（註：您若在 20 分鐘內無法達成共識，並無關係，重點在於過程。）接著作 2 ~ 3 分鐘結語，就此次經驗或達成的決定發表感言。您可以選擇領導一個非國際演講會(Toastmasters)團體來達成共識。運用單元中學到的技巧。選擇對您或您的團隊帶來挑戰的主題。在分會例會上，發表一篇 5 ~ 7 分鐘的演講分享經驗。您的演講可以是說服性的、幽默的、提供訊息的，或以任何您喜歡並且能強化您演講內容的方式呈現。將簽過名的「單元完成表」交給您的教育副會長。,：,◎ 率領非國際演講會(Toastmasters)成員團體達成共識,◎ 發表一篇 5 ~ 7 分鐘的演講,◎ 單元完成表,,https://ckc300.neocities.org/E/8313-A.pdf,https://ckc300.neocities.org/E/8313-B.pdf,
計畫與執行,本單元設計是要協助您提出實際的計畫來達成您的目標，並且成功追蹤專案至完成。,：本單元目的為練習制定計畫並實現計畫目標。,：選擇任何小規模專案，例如家庭派對、短途旅行、有關國際演講會主題例會或任何需要事先計畫的活動或專案。在他人的協助或是自己獨力的情況下，制定並執行計畫。在分會例會發表一份 2 ~ 3 分鐘的專案成果報告，或一篇 5 ~ 7 分鐘的演講來分享您的經驗。繳交「單元完成表」給您的教育副會長以確認您完成所有規劃資源內容。,：,◎ 制定並執行小型專案的計畫,◎ 「專案計畫」資源,◎ 活動規劃工作表,◎ 單元完成表,https://ckc300.neocities.org/E/8309.pdf,,
協調最佳結果,本單元聚焦識別各種協調風格、參與互利為前提的討論，最終找出並建立共同點。,：本單元目的是學習在協調時能夠使用不同類型的協調方式及策略。,：撰寫一篇 5 ~ 7 分鐘的演講，內容是關於您的人生中，曾經有過的或是未來會面臨的協調情況。協調的內容，必須是您曾經參與或即將涉入的協調事件。在演講中您可反思以往用過的談判方式，或是構思在未來對您最有幫助的協調策略。您可藉由演講來說服他人、展現幽默、提供訊息或以任何您喜歡且支持演講內容的方式，發表您的演講。,：,◎ 分析生活中曾面對或未來將面對的協調經驗,◎ 「協調目標設定」資源,◎ 發表一篇 5 ~ 7 分鐘的演講,,https://ckc300.neocities.org/E/8307.pdf,,
了解情緒智能,本單元談論情緒智能的各項元素。同時設計來協助您理解自己的情緒及他人的情緒。,：本單元的目的是要了解您的情緒如何影響人際關係。同時將幫助您辨別自身情緒如何受他人情緒影響。,：最少持續 2 週撰寫情緒日誌，記錄您的情緒如何影響自身及他人。在分會例會發表一篇 5 ~ 7 分鐘的演講，探討追蹤自身情緒帶來什麼影響。,：,◎ 至少歷時 2 週的情緒日誌,◎ 單元完成表,◎ 發表一篇 5 ~ 7 分鐘的演講,,https://ckc300.neocities.org/E/8316.pdf,,
發表企劃案,本單元介紹如何在企劃案中選擇關鍵資訊呈現，以便提出具支持性的證據和實際的解決方案來凸顯自己的立場。,：本單元目的為練習制定並發表企劃案。,：制定能夠改善您生活任何層面的企劃案。企劃案可能與您的個人或職場生活，或您的分會有關。若您的企劃案與分會有關，請先與負責相關事務的幹部討論。舉例來說，若您打算提出增加會員人數的企劃案，則應與會員副會長商討。在分會例會發表一篇 5 ~ 7 分鐘的演講，完整或部分呈現您的企劃案。,：,◎ 制定企劃案,◎ 「撰寫企劃案」資源,◎ 發表一篇 5 ~ 7 分鐘的演講,,https://ckc300.neocities.org/E/8312.pdf,,
使用幽默吸引觀眾,本單元著重運用幽默來強化您在演講中傳達的訊息。,：本單元的目的是讓您決定自己展現幽默的風格，並且把這種風格應用在具有特定核心訊息的演講中。,：發表一篇 5 ~ 7 分鐘長的演講，來闡述您的觀點以及讓您感到有趣的事情。您的演講至少要包括一則趣聞軼事或故事，藉此娛樂觀眾或在演講中展現幽默。,：5 ~ 7 分鐘長的演講,,,,,https://ckc300.neocities.org/E/8320.pdf,,
掌握解決衝突之道,本單元設計是要介紹衝突解決策略，並且提供機會來在互動活動中化解衝突情境。,：本單元目的是要培養或強化您對解決衝突步驟與策略的理解。,：完成本單元中的解決衝突影片活動。準備一篇 5 ~ 7 分鐘的演講來討論您如何處理衝突、如何制定更有效的策略，以及您在衝突情境中展現哪些最佳特質。您也可分享影片活動帶來的影響。您可在演講中展現幽默、提供資訊，或以任何您喜愛的方式發表。,：,◎ 解決衝突影片活動,◎ 發表一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8315.pdf,,
說服型演講,本單元聚焦幫助您提出及支持一項觀點，同時為您所選的主題找出最合適的說服型演講類型。,：本單元的目的是要了解說服型演講的不同類型，並在例會發表一篇說服演講。,：選擇任何適合發揮說服力的主題，並準備一篇演講。在分會例會發表一篇 5 ~ 7 分鐘的演講。,◎ 說服型演講大綱工作表,◎ 發表一篇 5 ~ 7 分鐘的演講,,,,https://ckc300.neocities.org/E/8308.pdf,,
成功的合作,本單元聚焦合作的益處、營造信任環境，以及鼓勵在團隊中進行創意辯論。,：本單元的目的是介紹或檢視在合作團隊中工作的策略。,：與一個小型團隊一同工作，並合作制定決策。您的目標是將您所學習到的合作策略應用到例如規劃分會例會的小規模計畫上。在分會例會發表一篇 5 ~ 7 分鐘的演講，來分享您在合作過程中學到的經驗。,：,◎ 與小型團隊一同工作並針對小規模活動制定合作決策,◎ 「團隊營造活動」資源,◎ 發表一篇 5 ~ 7 分鐘的演講,,https://ckc300.neocities.org/E/8314.pdf,,
運用人際網絡建立關係,本單元聚焦如何有效地建立人際網絡，並且了解讓您的人際網絡成員認可您是專業夥伴的重要。,：本單元的目的是要培養並練習個人化策略，藉此運用人際網絡建立關係。,：準備並參加人際網絡活動。活動過後，在您的分會發表一篇 5 ~ 7 分鐘的演講。您的演講內容可包括與自身經驗有關的故事、敘述您學到什麼，或討論人際網絡的好處。您也可在演講中分享個人經,：,◎ 「準備建立人際網絡」資源,◎ 參加人際網絡活動,◎ 單元完成表,◎ 發表一篇 5 ~ 7 分鐘的演講,https://ckc300.neocities.org/E/8306.pdf,,
制定溝通計劃,本單元聚焦如何提出中心訊息，並且為目標觀眾制定溝通計劃。,：本單元的目的是要練習制定溝通計劃。,：針對任何活動或情況制定溝通計劃。計劃可以是因應實際或假設性的需求而制定。在分會例會發表一篇 5 ~ 7 分鐘的演講來談論您的經驗。您可選擇談論計劃制定過程、制定計劃的好處，或在您執行計劃後可能帶來的影響。將已完成的計劃交給分會教育副會長檢視，以完成本單元。,◎ 制定溝通計劃,◎ 「撰寫溝通計劃」參考資源,◎ 發表一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8303.pdf,,
發表社交演講,本單元談論為各種社交場合撰寫演講的必要技巧，包括敬酒、致哀、受獎等演講，以及表揚個人或團體的演講。,：本單元的目的是要練習在您的分會會員面前發表社交演講。,：撰寫 2 篇不同內容的社交演講，時間均為 3 ~ 4 分鐘，並在 2 場不同例會上發表。您可選擇最感興趣的 2 種社交演講類型，或任何您想練習的類型。,：,◎ 「社交演講基本要素」參考資源,◎ 發表 2 篇 3 ~ 4 分鐘的演講,,,https://ckc300.neocities.org/E/8302-A.pdf,https://ckc300.neocities.org/E/8302-B.pdf,
巧說故事拉近距離,本單元談論巧說故事技巧及描述技巧，來讓每一篇演講引發共鳴且有趣。,：本單元目的是要練習在演講中運用巧說故事技巧，或演講內容本身就是一則故事。,：選擇既有的故事、出自本身經驗的故事，或自己創作、完全虛構的情節。在分會例會發表一篇 5 ~ 7 分鐘的演講。,：發表一篇 5 ~ 7 分鐘的演講,,,,,https://ckc300.neocities.org/E/8300.pdf,,
製作有效的視覺輔具,本單元談論為您的簡報與演講選擇最佳視覺輔具的有效方法，以及每種輔具的製作及使用方式。,：本單元目的是要練習選擇並在演講中運用各種視覺輔具。,：選擇最能發揮運用視覺輔具成效的演講主題。製作至少1種但至多3種的視覺輔具來強化您的演講內容。在分會例會發表一篇 5 ~ 7 分鐘的演講。,：,◎ 製作1至3種的視覺輔具,◎ 發表一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8301.pdf,,
聚焦正面思考,本單元談論藉由了解您日常互動時的態度與想法，來改善您與他人互動的策略。,：本單元目的是要練習瞭解您的想法與感受，以及您對他人的反應造成的影響。,：逐日記錄您的心情與態度，至少維持 2 星期，留意您何時感到積極正面、何時感到消極負面，您的成功與努力，以及您心懷感激的三件事情。記錄並評估您或周遭的人行為上的任何改變。在分會例會上，分享您的部分經驗。您可選擇發表 2 ~ 3 分鐘的報告，或 5 ~ 7 分鐘的演講。,：,◎,◎ 一篇 2 ~ 3 分鐘的報告或 5 ~ 7 分鐘的演講,◎ 單元完成表,,https://ckc300.neocities.org/E/8304.pdf,,
激勵啟發,本單元談論如何在發表演講時展現熱忱、激勵啟發他人，藉此與您的觀眾建立極為密切的關係。,：本單元目的是要練習撰寫並發表激勵啟發他人的演講。,：選擇可用來激勵啟發觀眾的合適主題，並準備在分會發表一篇 5 ~ 7 分鐘的演講。,：發表一篇 5 ~ 7 分鐘的演講,,,,,https://ckc300.neocities.org/E/8305.pdf,,
準備面談,本單元談論您找出及推銷自身強項的必須技巧，並且在任何類型的面談或面試恰如其分地呈現自己。,：本單元的目的是練習在面試或面談過程中如何恰如其分地呈現自己的所需技巧。,：決定您打算演練的面談類型，例如求職面試或專家面談。藉由審視自身技巧與能力來充分準備。完成本單元中的資源，並在發表演講前交給您的面談者參考。您可決定由分會中哪一名會員對您進行面談，,：,◎ 找出您的技能工作表,◎ 「面談者指南」參考資源,◎ 在分會例會上進行一場 5 ~ 7 分鐘的角色扮演面談,,https://ckc300.neocities.org/E/8310.pdf,,
了解抑揚頓挫,本單元談論在演講中展現抑揚頓挫的重要，同時提供活動來提升與強化運用。,：本單元目的是要練習運用抑揚頓挫來強化演講效果。,：學習或複習抑揚頓挫的重要性。利用本單元中的練習來改善您運用抑揚頓挫的技巧。接著，在分會例會中以任何主題發表一篇 5 ~ 7 分鐘的演講。,：一篇 5 ~ 7 分鐘的演講,,,,,https://ckc300.neocities.org/E/8317.pdf,,
