title,description,purpose,overview,includes1,includes2,includes3,includes4,includes5,form1,form2,form3
透過正向教練達成改進,本單元聚焦您的舉止如何對他人帶來正面影響，以及如何培養雙方關係，並且協助個人達成目標。,：本單元目的是培養並運用教練技能，您可教練 1 名分會會員或非國際演講會人士，幫助他或她得到進步。,：在分會例會之外的時間，於單元進行中輔導一個會員。與教育副會長討論後，分別制定教練分會會員及非國際演講會會員的計畫。在完成教練任務後，在分會會議上發表一篇 5 ~ 7 分鐘的演講，並分享您擔任教練的經驗。您可在演講中展現幽默、提供資訊，或以任何您喜愛且適合演講內容的方式發表。,：,◎ 利用單元內容來教練一個人,◎ 發表一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8403.pdf,,
運用描述性語彙,本單元談論直述與比喻語彙的差異，同時學習如何決定使用時機，來創造出栩栩如生的描述。,：本單元目的主要是練習運用語彙撰寫演講，並強化演講帶給觀眾的興趣與影響力。,：您可針對任何主題發表演講。在您的分會發表 5 ~ 7 分鐘的演講來詳細描述主題。,：發表一篇 5 ~ 7 分鐘的演講,,,,,https://ckc300.neocities.org/E/8318.pdf,,
掌理改變,本單元聚焦如何為改變制定計畫、提出溝通計畫，並找出為達成功可能面臨的阻礙。,：本單元目的是練習制定掌理改變的計畫。,：針對一個真實或假設性狀況制定一個掌理改變的計畫。您可根據過往的改變經驗，或是未來可能在您個人、國際演講會或職場發生的改變來制定計畫。發表一篇 5 ~ 7 分鐘的演講來與分會分享您的掌理改變計畫。您可在演講中展現幽默、提供資訊，或以任何吸引您的主題與方式發表。,：,◎ 制定掌理改變計畫,◎ 為改變做好準備工作表,◎ 「撰寫溝通計畫」參考資源,◎ 一篇 5 ~ 7 分鐘的演講,https://ckc300.neocities.org/E/8406.pdf,,
使用簡報軟體,本單元談論如何使用簡報軟體—從如何挑選能因運用科技受惠的主題，到有效的簡報設計與發表。,：本單元目的是要介紹或檢視製作與使用投影片來輔助或強化演講的基本簡報軟體使用策略。,：選擇一個適合運用科技做視覺簡報的演講主題。運用本單元內容及您自己的研究，來幫您製作投影片。使用您製作的投影片來發表一篇 5 ~ 7 分鐘的演講。您的演講可以是幽默的、示範性的或資訊型的，同時也可以加入故事或趣聞軼事。,：,◎,◎ 一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8319.pdf,,
在即席演講展現幽默力量,本單元強調構思無論任何時間演講都能增添幽默的策略，特別是如何在即席演講展現。,：本單元旨在引導您制定一套發表即席演講的方法，同時練習在演講過程中適時修改預先準備的故事。,"：您將發表2場 2~3 分鐘的演講。當您準備開始第一場演講時，當日的總主持人將從「即席演講主題」中挑選一個主題。您的演講長度必須介於 2~3 分鐘，同時必須包括一個與主題相關的趣聞軼事。完成第一場演講後,再針對另一新主題發表另一場 2~3 分鐘的演講。",:,◎ 「即席演講主題」參考資源,◎ 兩場 2~3 分鐘的即席演講,,,https://ckc300.neocities.org/E/8415.pdf,,
領導您的團隊,本單元設計是要協助您領導小規模團隊完成任務，並且給您機會練習基本的領導技巧。,,,● 針對分會的專案，例如舉辦開放分會活動、演講比賽，或協調會員招募計畫。,● 能有更大貢獻、非國際演講會的特定專案，例如為慈善機構組織志工活動、為貧困的社群夥伴募集食物等。(※ 請謹記您應以個人名義從事這些活動，而非代表國際演講會。),● 工作相關團隊或團隊專案。,,,https://ckc300.neocities.org/E/8405.pdf,,
激勵他人,本單元聚焦了解個人如何受激勵。主要設計是要協助您透過有效能地激勵團隊成員，來打造出自己的領導風格。,：本單元的目的是要練習在完成專案期間激勵團隊成員的所需技能。,：建立由 3 ~ 4 人組成的團隊，來幫助您制定與完成對您的分會有益的專案。運用本單元學到的資訊，來為每位團隊成員制定激勵策略。完成單元後，您可請團隊成員與至少一位分會幹部完成 360° 評估並針對您的溝通與領導技能提出回饋意見。在分會例會發表一篇 5 ~ 7 分鐘的演講來分享您的經驗。,：,◎ 建立並激勵團隊，來完成對您的分會有益的專案,◎ 「團隊營造活動」資源,◎ 「360° 評估」資源,◎ 一篇 5 ~ 7 分鐘的演講,https://ckc300.neocities.org/E/8411.pdf,,
困境中領導,本單元聚焦在因應挑戰、分析艱難局面和找出最佳解決方案來克服逆境等的基本要項。,：本單元目的是練習提出因應突發事件與變化的策略，來對已定案的計畫進行微調。,：針對任何活動或一系列目標，制定並完成專案計畫。您的計畫可以是真實案例或虛構的情境。為讓專案獲得最大成功，在計畫中加入愈多細節愈好。在分會例會上發表 5 ~ 7 分鐘的演講，與會員分享您的計畫。提供分會會員「計畫阻礙可能性參考」資源，並讓他們進行 2 ~ 3 分鐘的討論，來思考您的計畫可能遇上的阻礙。聆聽會員提出的可能阻礙，並即席發表解決方案。,：,◎ 制定鉅細彌遺的專案計畫,◎ 「專案計畫」資源,◎ 「專案計畫概述」資源,◎ 「計畫阻礙可能性參考」資源,https://ckc300.neocities.org/E/8404.pdf,,
成功管理專案,本單元聚焦有效管理專案、與利害關係人發展融洽關係，以及和團隊培養穩固合作關係的必要技巧。,：本單元目的是練習制定計畫、組建團隊並在團隊協助下執行且完成專案。,：組建 3 ~ 4 人組成的團隊並選擇要執行的專案。撰寫專案計畫並利用 2 ~ 3 分鐘的演講在分會發表計畫。與團隊合作完成您的專案。發表一篇 5 ~ 7 分鐘的演講來分享您的經驗。您的演講可以是幽默的、提供資訊的，或以任何您喜愛的方式來發表。此演講並非針對單元內容的報告，而是針對您如何應用所學的反思。,：,◎,◎,◎ 「專案計畫」資源,◎ 針對您的計畫發表一篇 2 ~ 3 分鐘的演講,https://ckc300.neocities.org/E/8408-A.pdf,https://ckc300.neocities.org/E/8408-B.pdf,
傳達改變,本單元聚焦制定溝通計畫，並在之前蒐集證據支持改變的必要，然後向您的聽眾傳達改變事項。,：本單元的目的在於練習如何向團體或组織有效傳達改變訊息的技能。,：面對將會受到此變化影響的聽眾，制定傳達改變訊息的計畫。在分會例會中，發表一篇 5 ~ 7 分鐘的演講來傳達一個改變訊息。您可以談論一個真實或虛擬的改變，它將會影響您的分會或生活中其,：,◎ 制定傳達改變的方案,◎ 一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8401.pdf,,
公關策略,本單元聚焦提升組織能見度、制定公關策略，以及運用各種公關戰略的方法。,：本單元目的是要練習為任何組織或在任何情況下，有效運用公關策略的技巧。,：為真實或假想的團體或情況，制定公關計畫。要是計畫涉及您的分會，除非您事先和分會會長及公關副會長溝通，否則應為假想的情境。在分會例會上發表一篇 5 ~ 7 分鐘的演講來分享您的計畫內容。,：,◎,◎ 一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8412.pdf,,
應對棘手的觀眾,本單元涵蓋常見的棘手觀眾行為，以及如何以冷靜、有效能且專業的方式來應對每一種行為。,：本單元目的是練習在國際演講會分會以外的場合發表演講時，應對觀眾挑戰所需的技能。,：針對所選主題準備一篇 5 ~ 7 分鐘的演講。您可以寫一篇全新的演講或是使用之前發表過的演講。講評將針對您應對觀眾干擾的方式，而非您的演講內容。在分會例會前，將「角色扮演任務」資源交給例會總主持人與教育副會長。發表演講時，回應那些對您造成干擾、不同類型的棘手聽眾。,：,◎,◎ 發表一篇 5 ~ 7 分鐘的演講,,,https://ckc300.neocities.org/E/8409.pdf,,
組織線上會議,本單元談論如何有效能地進行線上會議與研討會，還包括如何準備與籌備必要的視覺輔具，同時拿出自信主持與領導。,：本單元目的是練習主持線上會議或領導線上研討會。,：主持由國際演講會會員參與的 20 ~ 25 分鐘線上會議，或運用視覺輔具主持由國際演講會會員參加的 20 ~ 25 分鐘線上研討會。,：,◎ 「線上會議議程」資源,◎ 「線上會議入門」資源,◎ 籌備並主持 20 ~ 25 分鐘的線上會議或研討會,,https://ckc300.neocities.org/E/8407.pdf,,
提高社群媒體能見度,本單元談論使用各種不同類型線上傳播管道的最佳方式。您將建立並經營一個線上個人頁面，來推廣自己或所屬組織。,：本單元的目的是運用您對社群媒體的認識，來提高既有的或新建的社群媒體能見度。,：運用本單元內容與您自身研究的知識，來建立全新社群媒體的能見度，或提高既有社群媒體的能見度。您可專注達成個人目標（如與老友交流或推廣部落格）或職場目標（如商業或組織行銷）。運用對您與您的目標最有成效的工具。達成目標後，發表一篇 5 ~ 7 分鐘的演講來分享您的成果、經驗及社群媒體帶來的益處。繳交「單元完成表」給教育副會長，得到完成本單元的積分。,：,◎ 營造或強化社群能見度,◎ 單元完成表,◎ 發表一篇 5 ~ 7 分鐘的演講,,https://ckc300.neocities.org/E/8400.pdf,,
製作播客(Podcast),本單元談論您製播《播客》(Podcast)、有趣內容及組織連貫節目的必要技巧。您還將學到如何錄製《播客》(Podcast)並上傳到網路發表。,：本單元目的是向您介紹製播與發表《播客》(Podcast)的必要技巧。,：運用本單元所學內容與您自己的研究製作《播客》(Podcast)。錄製至少 60 分鐘的內容。您可自由剪輯錄製的《播客》(Podcast)內容。每集《播客》(Podcast)至少長約 10 分鐘，若要與您的主題與風格相襯，可擷取更長的片段。,：,◎,◎ 發表 2 ~ 3 分鐘的介紹演講,,,https://ckc300.neocities.org/E/8402.pdf,,
問答時間,本單元談論如何準備回答問題，並且帶著自信，清楚、扼要地提供資訊。,：本單元目的是要學習並練習如何順利進行問答時間。,：選擇一個您特別熟悉的主題。針對此主題準備並發表演講，之後接著一段問答時間,：,◎ 發表一篇 5 ~ 7 分鐘的演講,◎,,,https://ckc300.neocities.org/E/8413.pdf,,
撰寫吸引人的部落格,本單元談論撰寫吸引人部落格內容及成功培養讀者群的基本要素。,：本單元目的是回顧或介紹經營部落格與撰寫文章所需的技巧。,：一個月內至少發表 8 篇部落格文章。您可建立全新的部落格，或以您現有的部落格進行亦可。若您打算以分會名義發表部落格文章，必須先取得教育副會長許可。在分會例會上發表一篇 2 ~ 3 分鐘的演講，分享您經營部落格經驗的影響。您可選擇將部落格交由分會會員評分。繳交「單元完成表」給教育副會長，得到完成本單元的積分。,：,◎,◎ 部落格評分表,◎ 單元完成表,◎ 發表一篇 2 ~ 3 分鐘的演講,https://ckc300.neocities.org/E/8414.pdf,,
運用幽默傳達訊息,本單元強調構思主題式長篇演講，並藉此向觀眾有效傳達幽默與訊息。,：本單元的目的是要練習構思並發表一場時間較長的幽默演講。,：撰寫並發表一篇長約 18 ~ 22 分鐘的主題式幽默演講。若適合您的演講內容與風格，可選擇利用視覺輔具強化演講效果。,：,◎ 演講大綱工作表,◎ 18 ~ 22 分鐘的主題式幽默演講,,,https://ckc300.neocities.org/E/8512.pdf,,
時時挺身領導,本單元聚焦領導能力及體認依照面對情況和領導團隊成員的不同，來適應調整領導風格的必要性。,：本單元目的是運用能夠成功領導志工團隊或其他組織的必要技能。,：在國際演講會中(任何分會或區部層級皆可)、其他志工組織或您的職場上，擔任至少 6 個月的領導者。履行職責時，請同儕完成 360° 全面評估。發表一篇 8 ~ 10 分鐘的演講分享您擔任領導者的經驗。您可在演講中展現幽默、提供資訊，或以任何您喜愛的方式發表。,：,◎ 擔任領導者至少 6 個月,◎ 進行 360° 全面評估,◎ 發表一篇 8 ~ 10 分鐘的演講,,https://ckc300.neocities.org/E/8504.pdf,,
舉辦成功的活動,本單元設計是提供您統籌舉辦活動的工具。其中包括因應未預期局面、領導團隊及達成正面結果等的步驟。,：本單元目的是練習規劃、組織、領導與舉辦活動。,：規劃、合作舉辦並完成所選活動。本單元包括與規劃活動所有層面有關的工具。完成活動後，在您的分會發表一篇 5 ~ 7 分鐘的演講。分享規劃過程、您的團隊及活動舉辦組織的影響。您可在演講中展現幽默、提供資訊，或以任何您喜愛的方式發表。,：,◎ 規劃、組織及舉辦所選活動,◎ 活動規劃工作表,◎ 「撰寫溝通計畫」參考資源,◎ 發表一篇 5 ~ 7 分鐘的演講,https://ckc300.neocities.org/E/8507.pdf,,
團隊營造,本單元談論團隊營造的益處。內容設計是在協助您在完成專案的過程中，於團隊內部營造合作與信任的氛圍。,：本單元目的是練習營造具凝聚力團隊及舉辦活動的必要技能。,：建立小規模團隊並與成員設計、主持團隊營造活動，可在國際演講會分會或其他場合舉行。任何非國際演講會活動必須先由分會教育副會長許可，並且有一位分會幹部出席。活動前，在分會例會發表一篇 2 ~ 3 分鐘的報告，分享您的計畫。活動後，再於分會發表一篇 5 ~ 7 分鐘的演講。,：,◎ 與小規模團隊合作，主持團隊營造活動,◎ 「團隊營造活動」資源,◎ 「團隊營造活動評估」資源,◎ 發表一篇 2 ~ 3 分鐘的報告,https://ckc300.neocities.org/E/8511-A.pdf,https://ckc300.neocities.org/E/8511-B.pdf,
高成效領導,本單元聚焦設計與完成具有定義清楚目標的專案、領導團隊執行專案，同時向指導委員會負責說明。,：本單元目的是運用您的領導力和計畫知識來制定專案計畫、組成指導委員會，並在團隊協助下執行計畫。,：與至少 3 名其他會員組成團隊，並選擇要完成的專案。 組成指導委員會，在專案期間至少進行 5 次會議。在分會例會上發表一篇 5 ~ 7 分鐘的演講，來介紹您的計畫與願景。執行計畫後，再於分會例會發表一篇 5 ~ 7 分鐘的演講，來分享您發展與完成計畫的經驗。,：,◎,◎,◎ 「指導委員會介紹」資源,◎ 「會議議程」資源,https://ckc300.neocities.org/E/8503-A.pdf,https://ckc300.neocities.org/E/8503-B.pdf,
建立您的願景,本單元聚焦為您的職場或個人生涯建立願景。,：本單元目的是為您的個人生涯、職場生活或組織團隊規劃一個細緻描繪的願景。,：在例會中以 5 ~ 7 分鐘的時間發表一篇演講來提出一個願景。運用本單元的相關資源，制定出實現計畫的時間表。在後續的例會中發表另一篇 5 ~ 7 分鐘的演講，陳述實現願景的計畫。繳交簽名過的「單元完成表」給教育副會長，表示您已完成單元中所有的相關資源。,：,◎ 建立願景並制定實現願景的計畫,◎ 點子藍圖工作表,◎ 目標設定工作表,◎ 目標任務清單,https://ckc300.neocities.org/E/8501-A.pdf,https://ckc300.neocities.org/E/8501-B.pdf,
為專業演講做好準備,本單元設計是要協助您定義出身為專業演講者的特質，並且將對這些特質的了解，落實在您身為演講者所擁有的技巧。,：本單元目的是練習撰寫並發表較長的演講。,：撰寫並發表一篇長約 18 ~ 22 分鐘的主題式演講。列舉說明身為專業演講者所要傳達的觀點和訊息。若適合您的演講內容與風格，可選擇利用視覺輔具強化演講效果。您的演講可以幽默風趣、提供資訊或是其他任何類型，只要您的演講風格跟演講內容相符合。,：,◎ 演講大綱工作表,◎ 發表一篇,,的,https://ckc300.neocities.org/E/8509.pdf,,
於志工組織領導,本單元聚焦領導志工組織的必要技巧，以及認可與獎勵對激勵志工的重要。,：本單元目的是應用必要技能，以成功領導志願者組織。,：在國際演講會或其他志工組織擔 任至少 6 個月的領導職務。您或許可在所處職場完成本單元，但最好是志工組織。請組織成員對您的領導技能進行 360° 評估。制定接班計畫，來協助您離職後的交接。6 個月期間結束後，在分會例會發表一篇 5 ~ 7 分鐘的演講來反思您的個人經驗。,：,◎,◎ 針對您的領導技能進行 360° 評估,◎,◎ 「接班計畫」資源,https://ckc300.neocities.org/E/8505.pdf,,
道德領導,本單元談論識別有能力左右道德之決策的影響、做出道德決策及提出道德框架等的重要性。,：本單元目的是要對您的道德框架建立明確的暸解，並提供機會讓他人瞭解並討論您的組織或社群中的道德標準。,：定義您個人的道德框架。為定義個人道德框架，除參考單元內容，您必須另行研究。接著組織並主持一場 20 ~ 40 分鐘、探討何為道德的小組專題討論並開放問答。若您從未主持過小組專題討論，請參閱選修單元「主持小組專題討論」。,：,◎ 「道德框架」資源,◎,,,https://ckc300.neocities.org/E/8502.pdf,,
學習心得,本單元聚焦找出大型團體會議中的討論要點、鼓勵主動貢獻並勇於提出意見的文化，並促進能夠帶來正面成果、有建設性的討論。,：本單元目的是學習在進行或專案完成後，於學習心得會議期間應用的必要技能。,：安排曾與您完成專案，或正一同完成專案的團隊成員，進行一場學習心得會議。 本會議與國際演講會例會分開舉行。組織並促進討論。將討論結果以書面記錄，供您的團隊成員在當前專案或未,：,◎,◎ 記錄學習心得會議內容與結果,◎ 「360° 評估」資源,◎,https://ckc300.neocities.org/E/8506.pdf,,
回顧學習歷程,本單元設計是要讓您有機會在即將完成學習途徑的時刻，分享您的所學與經驗。,：本單元目的是回顧您完成整個學習途徑這一路上的成長。,：在分會例會上，發表一篇 10 ~ 12 分鐘的演講，來,：,◎ 「您的國際演講會(Toastmasters學習)之旅」資源,◎ 發表一篇 10 ~ 12 分鐘的演講,,,https://ckc300.neocities.org/E/8510.pdf,,
主持小組專題討論,本單元談論成功主持小組專題討論的必須技巧，以及如何擔任一名有效能的專題小組成員。,：本單元目的是運用您身為公開演講者與領導者的技能，來順利進行並主持小組專題討論。,：規劃並主持一場 20 ~ 40 分鐘的小組專題討論。,：,◎,◎ 「專題小組成員基本注意事項」資源,◎ 單元完成表,,https://ckc300.neocities.org/E/8508.pdf,,
